#Name,Number,Picture URL (optional; optimal: 50x50px)
ARD,101,http://www.o-ton.ch/wp-content/uploads/2010/04/ard_logo1.png
ZDF,102,http://www.itopnews.de/wp-content/uploads/2014/06/ZDF-mediathek-Icon-neu.png
3Sat,109,http://www.noraalaml.com/wp-content/uploads/2015/08/unnamed-300x169.jpg
Arte,110,http://t0.gstatic.com/images?q=tbn:ANd9GcTkQgDSNErzdlEckBBhFlDyAcZRQ2d08ogyBx2bqrIUYDot5MccvVMD5w
phoenix,552,http://www.stefano-picco.de/gfx/grafik-phoenix-logo.jpg
eins|plus,111,http://t2.gstatic.com/images?q=tbn:ANd9GcTAYrBlu6tfIho4c9u_o0SnwXDNJniHSF8rabxwbnOe8UHiZH-fzOQQ
Servus TV,123,http://t3.gstatic.com/images?q=tbn:ANd9GcTngbh1VVNXuIchcUygcr6EK1c3F3UlriU1eLmO_mD4RDUBWh7mLVh1HA
zdf-info,560,http://www.designtagebuch.de/wp-content/uploads/mediathek//2011/08/zdf-info-logo.gif
zdf_neo,206,http://www.lukaslindemannrosinski.de/en/kreation/zdfneo/default/zdfneo_front.jpg
zdf.kultur,205,http://image1.hoerzu.de/files/station_logos/275.png
Einsfestival,204,http://image1.hoerzu.de/files/station_logos/146.png
ARD-alpha,502,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/ARD_alpha.svg/1024px-ARD_alpha.svg.png
JukeBox,724,https://www.sky.de/static/img/senderlogos_dark/452_sky_logo_jukebox.png
BR süd, 141,http://www.br.de/apple-touch-icon.png

